customer_id,zipcode,lon,lat,station_cd,station_name,line_name,line_cd,l,m,s,dist
13,1460094,139.70631,35.56219,2600514,蓮沼,東急池上線,26005,東京都,大田区,東矢口,0.0029871466318085937
14,1730003,139.71809,35.75524,1132107,十条,JR埼京線,11321,東京都,板橋区,加賀,0.00655599039047208
15,2250024,139.54308,35.54824,2600318,市が尾,東急田園都市線,26003,神奈川県,横浜市青葉区,市ケ尾町,0.0036091695720776233
16,1130031,139.76285,35.71881,2800507,根津,東京メトロ千代田線,28005,東京都,文京区,根津,0.003139446607307009
17,2400003,139.60089,35.45546,2900104,天王町,相鉄本線,29001,神奈川県,横浜市保土ケ谷区,天王町,0.0022242913478293714
18,1200046,139.77156,35.75544,9934205,足立小台,日暮里・舎人ライナー,99342,東京都,足立区,小台,0.0014147667652370769
19,2010005,139.59077,35.62597,2500115,喜多見,小田急線,25001,東京都,狛江市,岩戸南,0.011230501057381133
20,2060824,139.47473,35.62224,2400206,若葉台,京王相模原線,24002,東京都,稲城市,若葉台,0.003867028057825257
21,1730031,139.68896,35.75082,2100105,中板橋,東武東上線,21001,東京都,板橋区,大谷口北町,0.00782441435507263
22,1500001,139.70937,35.66818,2801015,明治神宮前〈原宿〉,東京メトロ副都心線,28010,東京都,渋谷区,神宮前,0.004015532094267695
23,2140023,139.58276,35.61115,1130313,宿河原,JR南武線,11303,神奈川県,川崎市多摩区,長尾,0.0053402121680702665
24,1450066,139.68851,35.58909,2600510,御嶽山,東急池上線,26005,東京都,大田区,南雪谷,0.007162310032400421
25,1700014,139.70854,35.73394,2801009,池袋,東京メトロ副都心線,28010,東京都,豊島区,池袋（１丁目）,0.0024884888989044015
26,1710033,139.71616,35.71515,9930529,面影橋,都電荒川線,99305,東京都,豊島区,高田,0.0027657217864536
27,1740044,139.67896,35.77708,9930322,志村三丁目,都営三田線,99303,東京都,板橋区,相生町,0.006983927977870984
29,2720104,139.92082,35.69128,2800421,妙典,東京メトロ東西線,28004,千葉県,市川市,本塩,0.003406515228204208
30,2701337,140.16113000000001,35.78876,9934014,印西牧の原,北総鉄道北総線,99340,千葉県,印西市,草深,0.015933708450942337
31,1750094,139.63208,35.77998,2100110,成増,東武東上線,21001,東京都,板橋区,成増,0.002342740489257915
32,1310032,139.81386,35.72098,2100204,曳舟,東武伊勢崎線,21002,東京都,墨田区,東向島,0.0037760985156535605
32,1310032,139.81386,35.72098,2100501,曳舟,東武亀戸線,21005,東京都,墨田区,東向島,0.0037760985156535605
33,1740065,139.67245,35.77073,2100107,上板橋,東武東上線,21001,東京都,板橋区,若木,0.008159384535616631
34,1640012,139.68005,35.69477,9930130,中野坂上,都営大江戸線,99301,東京都,中野区,本町,0.003217272291867793
35,1680072,139.62195,35.67941,2400611,浜田山,京王井の頭線,24006,東京都,杉並区,高井戸東,0.005993607678200238
36,2610026,140.03448,35.66606,2300402,京成幕張本郷,京成千葉線,23004,千葉県,千葉市美浜区,幕張西,0.010003019644083308
37,1140034,139.72026,35.7592,1132107,十条,JR埼京線,11321,東京都,北区,上十条,0.0022692223337445537
38,1530052,139.69293,35.63678,2600104,祐天寺,東急東横線,26001,東京都,目黒区,祐天寺,0.0022055096916600778
39,1710044,139.68668,35.73463,2800607,千川,東京メトロ有楽町線,28006,東京都,豊島区,千早,0.004434645645362622
39,1710044,139.68668,35.73463,2801007,千川,東京メトロ副都心線,28010,東京都,豊島区,千早,0.004434645645362622
40,1730016,139.69804,35.75595,2100105,中板橋,東武東上線,21001,東京都,板橋区,中板橋,0.0034221981240106984
41,1710021,139.70583,35.72632,2800609,池袋,東京メトロ有楽町線,28006,東京都,豊島区,西池袋,0.005353558536168305
42,2040003,139.51283,35.77921,2200115,清瀬,西武池袋線,22001,東京都,清瀬市,中里,0.009953476277147547
43,1640012,139.68005,35.69477,9930130,中野坂上,都営大江戸線,99301,東京都,中野区,本町,0.003217272291867793
44,1760002,139.66452,35.74001,2200105,桜台,西武池袋線,22001,東京都,練馬区,桜台,0.0022693816338525785
45,1140034,139.72026,35.7592,1132107,十条,JR埼京線,11321,東京都,北区,上十条,0.0022692223337445537
46,1710022,139.72011,35.72287,9930525,東池袋四丁目,都電荒川線,99305,東京都,豊島区,南池袋,0.0024119917081097068
47,1740071,139.68399,35.76205,2100106,ときわ台,東武東上線,21001,東京都,板橋区,常盤台,0.006000205496495203
48,3350002,139.69394,35.82598,1133207,蕨,JR京浜東北線,11332,埼玉県,蕨市,塚越,0.004093205345439743
49,1790074,139.64621,35.74872,9930137,練馬春日町,都営大江戸線,99301,東京都,練馬区,春日町,0.006569056248816669
50,1140023,139.73558,35.74786,9930518,滝野川一丁目,都電荒川線,99305,東京都,北区,滝野川,5.270787417461773e-4
51,1120014,139.72765,35.71367,2800611,護国寺,東京メトロ有楽町線,28006,東京都,文京区,関口,0.0053751256729457735
52,1140002,139.7392,35.75307,1133212,王子,JR京浜東北線,11332,東京都,北区,王子,0.0012309037330452595
53,1730005,139.70985,35.75538,9930318,板橋区役所前,都営三田線,99303,東京都,板橋区,仲宿,0.004103744631436313
54,1730005,139.70985,35.75538,9930318,板橋区役所前,都営三田線,99303,東京都,板橋区,仲宿,0.004103744631436313
55,1740073,139.68701,35.75433,2100106,ときわ台,東武東上線,21001,東京都,板橋区,東山町,0.004872628243576654
56,1740043,139.68188,35.78294,9930323,蓮根,都営三田線,99303,東京都,板橋区,坂下,0.003206367726895251
57,1460085,139.69125,35.58555,2600511,久が原,東急池上線,26005,東京都,大田区,久が原,0.008225678391476364
58,3520033,139.5526,35.77367,2200114,東久留米,西武池袋線,22001,埼玉県,新座市,石神,0.023035580001396244
59,1730021,139.69276,35.75354,2100105,中板橋,東武東上線,21001,東京都,板橋区,弥生町,0.003261855300285556
60,1760012,139.65512,35.73528,9930135,練馬,都営大江戸線,99301,東京都,練馬区,豊玉北,0.0021526439556918265
61,1530043,139.68723,35.6464,2600302,池尻大橋,東急田園都市線,26003,東京都,目黒区,東山,0.00511264413000175
62,3330866,139.70386,35.83307,1133207,蕨,JR京浜東北線,11332,埼玉県,川口市,芝,0.014437912937804116
63,2020004,139.56535,35.75346,2200112,保谷,西武池袋線,22001,東京都,西東京市,下保谷,0.005762903174621089
64,1690075,139.69919,35.71077,1130210,高田馬場,JR山手線,11302,東京都,新宿区,高田馬場,0.004910425032522094
64,1690075,139.69919,35.71077,2200702,高田馬場,西武新宿線,22007,東京都,新宿区,高田馬場,0.004910425032522094
65,1510073,139.66701,35.67515,2400104,笹塚,京王線,24001,東京都,渋谷区,笹塚,0.0014127083917079236
65,1510073,139.66701,35.67515,2400704,笹塚,京王新線,24007,東京都,渋谷区,笹塚,0.0014127083917079236
66,2030013,139.53723,35.76014,2200114,東久留米,西武池袋線,22001,東京都,東久留米市,新川町,0.0035042982178998473
67,1130021,139.74794,35.72873,9930314,千石,都営三田線,99303,東京都,文京区,本駒込,0.0032415170831042238
69,3330848,139.70018,35.83624,1133207,蕨,JR京浜東北線,11332,埼玉県,川口市,芝下,0.012847812654285216
70,1160002,139.78111,35.73425,1132003,三河島,JR常磐線(上野～取手),11320,東京都,荒川区,荒川,0.004072361722651944
71,1670023,139.59709,35.72016,2200713,上石神井,西武新宿線,22007,東京都,杉並区,上井草,0.00772138698681181
72,1710021,139.70583,35.72632,2800609,池袋,東京メトロ有楽町線,28006,東京都,豊島区,西池袋,0.005353558536168305
73,1710014,139.70854,35.73394,2801009,池袋,東京メトロ副都心線,28010,東京都,豊島区,池袋（２～４丁目）,0.0024884888989044015
74,1730021,139.69276,35.75354,2100105,中板橋,東武東上線,21001,東京都,板橋区,弥生町,0.003261855300285556
75,1710043,139.6962,35.73489,2800608,要町,東京メトロ有楽町線,28006,東京都,豊島区,要町,0.0030134407244783662
75,1710043,139.6962,35.73489,2801008,要町,東京メトロ副都心線,28010,東京都,豊島区,要町,0.0030134407244783662
76,1710043,139.6962,35.73489,2800608,要町,東京メトロ有楽町線,28006,東京都,豊島区,要町,0.0030134407244783662
76,1710043,139.6962,35.73489,2801008,要町,東京メトロ副都心線,28010,東京都,豊島区,要町,0.0030134407244783662
77,1120011,139.74362,35.72583,9930314,千石,都営三田線,99303,東京都,文京区,千石,0.0024285207431683936
78,1700014,139.70854,35.73394,2801009,池袋,東京メトロ副都心線,28010,東京都,豊島区,池袋（１丁目）,0.0024884888989044015
80,1120002,139.74269,35.71426,2800203,茗荷谷,東京メトロ丸ノ内線,28002,東京都,文京区,小石川,0.006145199508554553
81,1790083,139.66077,35.75563,2800604,平和台,東京メトロ有楽町線,28006,東京都,練馬区,平和台,0.007355158257998458
81,1790083,139.66077,35.75563,2801004,平和台,東京メトロ副都心線,28010,東京都,練馬区,平和台,0.007355158257998458
84,1120002,139.74269,35.71426,2800203,茗荷谷,東京メトロ丸ノ内線,28002,東京都,文京区,小石川,0.006145199508554553
85,3520014,139.57608,35.77553,2200111,大泉学園,西武池袋線,22001,埼玉県,新座市,栄,0.028212204451276292
86,1730023,139.69974,35.74861,2100104,大山,東武東上線,21001,東京都,板橋区,大山町,0.0028568767911804787
87,1730037,139.67633,35.75237,2200301,小竹向原,西武有楽町線,22003,東京都,板橋区,小茂根,0.00885550975381812
87,1730037,139.67633,35.75237,2800606,小竹向原,東京メトロ有楽町線,28006,東京都,板橋区,小茂根,0.00885550975381812
87,1730037,139.67633,35.75237,2801006,小竹向原,東京メトロ副都心線,28010,東京都,板橋区,小茂根,0.00885550975381812
88,1860004,139.44316,35.69357,1131226,国立,JR中央線(快速),11312,東京都,国立市,中,0.0064921491048727156
89,1760023,139.64333,35.73581,2200107,中村橋,西武池袋線,22001,東京都,練馬区,中村北,0.005951447302973151
90,1610032,139.6835,35.71887,9930133,落合南長崎,都営大江戸線,99301,東京都,新宿区,中落合,0.004742093735890188
91,1740071,139.68399,35.76205,2100106,ときわ台,東武東上線,21001,東京都,板橋区,常盤台,0.006000205496495203
92,1230872,139.76833,35.7698,9934207,高野,日暮里・舎人ライナー,99342,東京都,足立区,江北,0.0027557724869887177
93,3500811,139.43967,35.93932,2100123,霞ヶ関,東武東上線,21001,埼玉県,川越市,小堤,0.014060325529657703
94,1700012,139.72215,35.73607,9930522,巣鴨新田,都電荒川線,99305,東京都,豊島区,上池袋,0.005649060541360368
95,3490124,139.65031,35.97956,1131909,蓮田,宇都宮線,11319,埼玉県,蓮田市,末広,0.0032020899425355995
96,1140016,139.74756,35.7446,1133213,上中里,JR京浜東北線,11332,東京都,北区,上中里,0.0032233648567944447
97,3510115,139.61285,35.79289,2100111,和光市,東武東上線,21001,埼玉県,和光市,新倉,0.004402697468595362
97,3510115,139.61285,35.79289,2800601,和光市,東京メトロ有楽町線,28006,埼玉県,和光市,新倉,0.004402697468595362
97,3510115,139.61285,35.79289,2801001,和光市,東京メトロ副都心線,28010,埼玉県,和光市,新倉,0.004402697468595362
98,1820006,139.57544,35.65337,2400114,つつじヶ丘,京王線,24001,東京都,調布市,西つつじケ丘,0.004578419487110625
99,3360021,139.6487,35.85153,1130510,武蔵浦和,JR武蔵野線,11305,埼玉県,さいたま市南区,別所,0.00553085572040703
100,1700003,139.7496,35.73504,1130215,駒込,JR山手線,11302,東京都,豊島区,駒込,0.0023620825557083207
103,1760013,139.65466,35.73171,9930135,練馬,都営大江戸線,99301,東京都,練馬区,豊玉中,0.005695062422834555
104,1730036,139.68529,35.74195,2800607,千川,東京メトロ有楽町線,28006,東京都,板橋区,向原,0.005449238662409523
104,1730036,139.68529,35.74195,2801007,千川,東京メトロ副都心線,28010,東京都,板橋区,向原,0.005449238662409523
105,1120012,139.73383,35.72386,2800202,新大塚,東京メトロ丸ノ内線,28002,東京都,文京区,大塚,0.0042709227340279494
106,2040002,139.54193,35.79911,1130507,新座,JR武蔵野線,11305,東京都,清瀬市,旭が丘,0.015145705794052474
107,1760002,139.66452,35.74001,2200105,桜台,西武池袋線,22001,東京都,練馬区,桜台,0.0022693816338525785
108,1790085,139.65376,35.75518,2800604,平和台,東京メトロ有楽町線,28006,東京都,練馬区,早宮,0.0026830007454316566
108,1790085,139.65376,35.75518,2801004,平和台,東京メトロ副都心線,28010,東京都,練馬区,早宮,0.0026830007454316566
109,1140024,139.74603,35.74177,2800906,駒込,東京メトロ南北線,28009,東京都,北区,西ケ原,0.0048286090129606414
110,1750083,139.66551,35.77168,2100108,東武練馬,東武東上線,21001,東京都,板橋区,徳丸,0.004633188966577751
111,1310031,139.82388,35.73316,2100206,鐘ヶ淵,東武伊勢崎線,21002,東京都,墨田区,墨田,0.0035788266233469307
112,3350025,139.67256,35.80475,1132111,戸田公園,JR埼京線,11321,埼玉県,戸田市,南町,0.006465584660333259
113,3580004,139.38287,35.84341,2200122,入間市,西武池袋線,22001,埼玉県,入間市,鍵山,0.007441223824090847
114,1160011,139.76361,35.75206,9930510,宮ノ前,都電荒川線,99305,東京都,荒川区,西尾久,0.002348329193269802
115,1120001,139.74956,35.72349,9930313,白山,都営三田線,99303,東京都,文京区,白山（２～５丁目）,0.0033121745123152616
116,1710014,139.70854,35.73394,2801009,池袋,東京メトロ副都心線,28010,東京都,豊島区,池袋（２～４丁目）,0.0024884888989044015
117,1700001,139.72818,35.73941,9930521,庚申塚,都電荒川線,99305,東京都,豊島区,西巣鴨,0.001570470630102018
118,1780063,139.58405,35.75305,2200111,大泉学園,西武池袋線,22001,東京都,練馬区,東大泉,0.004524583958788289
119,2150003,139.52231,35.60524,2500122,百合ヶ丘,小田急線,25001,神奈川県,川崎市麻生区,高石,0.007257259882355022
121,1160014,139.77652,35.73094,1132003,三河島,JR常磐線(上野～取手),11320,東京都,荒川区,東日暮里,0.0025182474064362336
122,1650031,139.63304,35.72905,2200108,富士見台,西武池袋線,22001,東京都,中野区,上鷺宮,0.007595655929533797
123,1250053,139.87816,35.74273,2300111,京成小岩,京成本線,23001,東京都,葛飾区,鎌倉,0.005579398175430073
124,3550327,139.20494,36.02338,1131806,竹沢,JR八高線(高麗川～高崎),11318,埼玉県,比企郡小川町,腰越,0.05778020024194911
125,1760024,139.64359,35.7323,2200107,中村橋,西武池袋線,22001,東京都,練馬区,中村,0.00758815161946706
126,1420063,139.71379,35.61999,2600503,戸越銀座,東急池上線,26005,東京都,品川区,荏原,0.0042010746244365875
127,3350002,139.69394,35.82598,1133207,蕨,JR京浜東北線,11332,埼玉県,蕨市,塚越,0.004093205345439743
128,1760012,139.65512,35.73528,9930135,練馬,都営大江戸線,99301,東京都,練馬区,豊玉北,0.0021526439556918265
130,1760002,139.66452,35.74001,2200105,桜台,西武池袋線,22001,東京都,練馬区,桜台,0.0022693816338525785
131,1310031,139.82388,35.73316,2100206,鐘ヶ淵,東武伊勢崎線,21002,東京都,墨田区,墨田,0.0035788266233469307
132,1790084,139.66902,35.75149,2800605,氷川台,東京メトロ有楽町線,28006,東京都,練馬区,氷川台,0.003960657647392171
132,1790084,139.66902,35.75149,2801005,氷川台,東京メトロ副都心線,28010,東京都,練馬区,氷川台,0.003960657647392171
133,1160002,139.78111,35.73425,1132003,三河島,JR常磐線(上野～取手),11320,東京都,荒川区,荒川,0.004072361722651944
134,1710043,139.6962,35.73489,2800608,要町,東京メトロ有楽町線,28006,東京都,豊島区,要町,0.0030134407244783662
134,1710043,139.6962,35.73489,2801008,要町,東京メトロ副都心線,28010,東京都,豊島区,要町,0.0030134407244783662
135,1130033,139.75809,35.71354,2800908,東大前,東京メトロ南北線,28009,東京都,文京区,本郷,0.004093516092551737
136,2030014,139.53412,35.76226,2200114,東久留米,西武池袋線,22001,東京都,東久留米市,東本町,0.001854558168407077
137,2030052,139.52472,35.76051,2200114,東久留米,西武池袋線,22001,東京都,東久留米市,幸町,0.009019234224695008
138,1610031,139.67639,35.72091,2200705,新井薬師前,西武新宿線,22007,東京都,新宿区,西落合,0.006390484175708002
139,1610032,139.6835,35.71887,9930133,落合南長崎,都営大江戸線,99301,東京都,新宿区,中落合,0.004742093735890188
140,1700003,139.7496,35.73504,1130215,駒込,JR山手線,11302,東京都,豊島区,駒込,0.0023620825557083207
141,1230872,139.76833,35.7698,9934207,高野,日暮里・舎人ライナー,99342,東京都,足立区,江北,0.0027557724869887177
142,1620816,139.73819,35.70384,2800405,神楽坂,東京メトロ東西線,28004,東京都,新宿区,白銀町,0.0036443430135020935
143,1140014,139.76155,35.73493,1130216,田端,JR山手線,11302,東京都,北区,田端,0.0028690141163834003
143,1140014,139.76155,35.73493,1133214,田端,JR京浜東北線,11332,東京都,北区,田端,0.0028690141163834003
144,1350023,139.79948,35.67826,2800811,清澄白河,東京メトロ半蔵門線,28008,東京都,江東区,平野,0.0038961090847094873
144,1350023,139.79948,35.67826,9930115,清澄白河,都営大江戸線,99301,東京都,江東区,平野,0.0038961090847094873
145,3510006,139.60051,35.80083,2100112,朝霞,東武東上線,21001,埼玉県,朝霞市,仲町,0.004098360281864052
146,3640013,139.54318,36.02126,1132311,北本,JR高崎線,11323,埼玉県,北本市,中丸,0.014481533931186315
147,1790074,139.64621,35.74872,9930137,練馬春日町,都営大江戸線,99301,東京都,練馬区,春日町,0.006569056248816669
148,1790074,139.64621,35.74872,9930137,練馬春日町,都営大江戸線,99301,東京都,練馬区,春日町,0.006569056248816669
149,1760012,139.65512,35.73528,9930135,練馬,都営大江戸線,99301,東京都,練馬区,豊玉北,0.0021526439556918265
150,1230865,139.74864,35.77139,2800903,王子神谷,東京メトロ南北線,28009,東京都,足立区,新田,0.014146779598202378
151,2220022,139.62521,35.49929,2600117,妙蓮寺,東急東横線,26001,神奈川県,横浜市港北区,篠原東,0.008000336055435209
152,2020001,139.53893,35.74757,2200113,ひばりヶ丘,西武池袋線,22001,東京都,西東京市,ひばりが丘,0.007952440443036038
153,1150045,139.72449,35.77987,1131903,赤羽,宇都宮線,11319,東京都,北区,赤羽,0.00401100735478481
153,1150045,139.72449,35.77987,1132108,赤羽,JR埼京線,11321,東京都,北区,赤羽,0.00401100735478481
153,1150045,139.72449,35.77987,1132303,赤羽,JR高崎線,11323,東京都,北区,赤羽,0.00401100735478481
153,1150045,139.72449,35.77987,1133210,赤羽,JR京浜東北線,11332,東京都,北区,赤羽,0.00401100735478481
153,1150045,139.72449,35.77987,1133302,赤羽,JR湘南新宿ライン,11333,東京都,北区,赤羽,0.00401100735478481
155,2350035,139.6055,35.3852,2700134,屏風浦,京急本線,27001,神奈川県,横浜市磯子区,田中,0.010220144079221172
156,1700013,139.72307,35.72593,9930525,東池袋四丁目,都電荒川線,99305,東京都,豊島区,東池袋（次のビルを除く）,0.0031263179620859877
157,1130033,139.75809,35.71354,2800908,東大前,東京メトロ南北線,28009,東京都,文京区,本郷,0.004093516092551737
158,1640002,139.67793,35.71045,9930131,東中野,都営大江戸線,99301,東京都,中野区,上高田,0.006183828102393806
159,1700003,139.7496,35.73504,1130215,駒込,JR山手線,11302,東京都,豊島区,駒込,0.0023620825557083207
160,2040022,139.51355,35.76883,2200115,清瀬,西武池袋線,22001,東京都,清瀬市,松山,0.007213707091349721
161,1790076,139.60918,35.76055,2200110,石神井公園,西武池袋線,22001,東京都,練馬区,土支田,0.017128741051230027
162,1140022,139.73386,35.75376,2800904,王子,東京メトロ南北線,28009,東京都,北区,王子本町,0.0037636418533164915
163,1800004,139.58099,35.70522,1131104,吉祥寺,JR中央本線(東京～塩尻),11311,東京都,武蔵野市,吉祥寺本町,0.002432041529249931
163,1800004,139.58099,35.70522,1131219,吉祥寺,JR中央線(快速),11312,東京都,武蔵野市,吉祥寺本町,0.002432041529249931
163,1800004,139.58099,35.70522,1131302,吉祥寺,JR中央・総武線,11313,東京都,武蔵野市,吉祥寺本町,0.002432041529249931
163,1800004,139.58099,35.70522,1132820,吉祥寺,JR成田エクスプレス,11328,東京都,武蔵野市,吉祥寺本町,0.002432041529249931
164,1140023,139.73558,35.74786,9930518,滝野川一丁目,都電荒川線,99305,東京都,北区,滝野川,5.270787417461773e-4
165,1750083,139.66551,35.77168,2100108,東武練馬,東武東上線,21001,東京都,板橋区,徳丸,0.004633188966577751
166,1230865,139.74864,35.77139,2800903,王子神谷,東京メトロ南北線,28009,東京都,足立区,新田,0.014146779598202378
168,3502206,139.40575,35.93877,2100125,若葉,東武東上線,21001,埼玉県,鶴ヶ島市,藤金,0.010592224742702043
169,3350026,139.6693,35.80949,1132112,戸田,JR埼京線,11321,埼玉県,戸田市,新曽南,0.008178760847464734
170,1700013,139.72307,35.72593,9930525,東池袋四丁目,都電荒川線,99305,東京都,豊島区,東池袋（次のビルを除く）,0.0031263179620859877
171,1700011,139.71207,35.74359,2100103,下板橋,東武東上線,21001,東京都,豊島区,池袋本町,0.0034514324562413936
172,1140001,139.73114,35.76093,1133211,東十条,JR京浜東北線,11332,東京都,北区,東十条,0.005156515587114721
173,1520002,139.69588,35.62674,2600203,武蔵小山,東急目黒線,26002,東京都,目黒区,目黒本町,0.010638775305456984
174,1330061,139.90793,35.70699,9930420,篠崎,都営新宿線,99304,東京都,江戸川区,篠崎町,0.004342413269140213
175,1200023,139.81401,35.74183,2300106,京成関屋,京成本線,23001,東京都,足立区,千住曙町,0.003081571676928165
176,1740051,139.70027,35.77394,9930321,志村坂上,都営三田線,99303,東京都,板橋区,小豆沢,0.005205605152130289
177,1320035,139.84166,35.7035,1131324,平井,JR中央・総武線,11313,東京都,江戸川区,平井,0.0029759605172140066
178,1200006,139.83493000000001,35.77921,2800501,北綾瀬,東京メトロ千代田線,28005,東京都,足立区,谷中,0.003572348527250062
179,2020004,139.56535,35.75346,2200112,保谷,西武池袋線,22001,東京都,西東京市,下保谷,0.005762903174621089
180,1500001,139.70937,35.66818,2801015,明治神宮前〈原宿〉,東京メトロ副都心線,28010,東京都,渋谷区,神宮前,0.004015532094267695
181,1760023,139.64333,35.73581,2200107,中村橋,西武池袋線,22001,東京都,練馬区,中村北,0.005951447302973151
182,1660012,139.65712,35.69579,2800222,東高円寺,東京メトロ丸ノ内線,28002,東京都,杉並区,和田,0.0021309500228836493
183,1700014,139.70854,35.73394,2801009,池袋,東京メトロ副都心線,28010,東京都,豊島区,池袋（１丁目）,0.0024884888989044015
184,3510012,139.59937,35.79145,2100112,朝霞,東武東上線,21001,埼玉県,朝霞市,栄町,0.005370865572706457
185,1700001,139.72818,35.73941,9930521,庚申塚,都電荒川線,99305,東京都,豊島区,西巣鴨,0.001570470630102018
186,1760021,139.62834,35.73847,2200108,富士見台,西武池袋線,22001,東京都,練馬区,貫井,0.002932253229175287
187,1100014,139.78276,35.71772,2800304,入谷,東京メトロ日比谷線,28003,東京都,台東区,北上野,0.002437839207174305
188,3510022,139.58504,35.8131,2100113,朝霞台,東武東上線,21001,埼玉県,朝霞市,東弁財,0.00247511312873244
189,1700003,139.7496,35.73504,1130215,駒込,JR山手線,11302,東京都,豊島区,駒込,0.0023620825557083207
190,1080074,139.7345,35.6266,2700102,品川,京急本線,27001,東京都,港区,高輪,0.00396534437344477
191,1710051,139.69516,35.72837,2200102,椎名町,西武池袋線,22001,東京都,豊島区,長崎,0.0019667264680089274
192,1700004,139.72807,35.73344,9930523,大塚駅前,都電荒川線,99305,東京都,豊島区,北大塚,0.002040512925708573
193,1730024,139.70511,35.74622,2100104,大山,東武東上線,21001,東京都,板橋区,大山金井町,0.0033315349315309263
194,2030032,139.51045,35.74065,2200718,花小金井,西武新宿線,22007,東京都,東久留米市,前沢,0.014784340533148366
195,1700004,139.72807,35.73344,9930523,大塚駅前,都電荒川線,99305,東京都,豊島区,北大塚,0.002040512925708573
196,1680063,139.65109,35.67414,2400106,明大前,京王線,24001,東京都,杉並区,和泉,0.0054323630217490365
196,1680063,139.65109,35.67414,2400608,明大前,京王井の頭線,24006,東京都,杉並区,和泉,0.0054323630217490365
197,1700001,139.72818,35.73941,9930521,庚申塚,都電荒川線,99305,東京都,豊島区,西巣鴨,0.001570470630102018
198,1680062,139.6613,35.67631,2400105,代田橋,京王線,24001,東京都,杉並区,方南,0.005548719942476156
199,1140016,139.74756,35.7446,1133213,上中里,JR京浜東北線,11332,東京都,北区,上中里,0.0032233648567944447
200,1620041,139.72443,35.708,2800404,早稲田,東京メトロ東西線,28004,東京都,新宿区,早稲田鶴巻町,0.0038552626369822295
201,2720023,139.93259,35.71798,2300117,鬼越,京成本線,23001,千葉県,市川市,南八幡,0.005635830018715705
202,3410044,139.86049,35.8058,9930908,八潮,つくばエクスプレス,99309,埼玉県,三郷市,戸ケ崎,0.015615529257747349
203,1700013,139.72307,35.72593,9930525,東池袋四丁目,都電荒川線,99305,東京都,豊島区,東池袋（次のビルを除く）,0.0031263179620859877
204,3570122,139.23083,35.87982,2200130,吾野,西武池袋線,22001,埼玉県,飯能市,中藤中郷,0.028965548035550008
204,3570122,139.23083,35.87982,2200206,吾野,西武秩父線,22002,埼玉県,飯能市,中藤中郷,0.028965548035550008
205,1530051,139.69966,35.6461,2600103,中目黒,東急東横線,26001,東京都,目黒区,上目黒,0.0024746791711210492
205,1530051,139.69966,35.6461,2800321,中目黒,東京メトロ日比谷線,28003,東京都,目黒区,上目黒,0.0024746791711210492
206,1760006,139.66949,35.73852,2200302,新桜台,西武有楽町線,22003,東京都,練馬区,栄町,0.002545309411447655
207,2040023,139.50832,35.76425,2200115,清瀬,西武池袋線,22001,東京都,清瀬市,竹丘,0.01407221553274236
208,3600004,139.4023,36.16582,1132316,熊谷,JR高崎線,11323,埼玉県,熊谷市,上川上,0.029140988881634616
209,3320032,139.72174,35.80795,1133209,川口,JR京浜東北線,11332,埼玉県,川口市,中青木,0.00742929236200495
210,1790074,139.64621,35.74872,9930137,練馬春日町,都営大江戸線,99301,東京都,練馬区,春日町,0.006569056248816669
211,3500441,139.31743,35.95214,2100706,東毛呂,東武越生線,21007,埼玉県,入間郡毛呂山町,岩井,0.005509160825390985
